,name,elo,games
0,Xantos1159,1288.3836640021345,108
1,SirDude48,949.0525742087019,6
2,Dïïgïï,1177.4101933684365,3
3,Tafetta,822.5898066315635,3
4,Tari,986.0,1
5,Kerwox,1014.0,1
6,draxpho,1109.108585190665,17
7,ataru79,1056.6456681638379,77
8,Captain Tyborc,1310.288310140144,25
9,Kelorn,1202.994202712852,42
10,Sackit26,1025.526859074747,8
11,Benk3i,986.0,1
12,Malador,1284.660434151976,41
13,KingSpAIDs,858.0561781940345,35
14,DiscordedMuffins,972.4135742459031,7
15,JungleRat,958.0,1
16,dredmond85,811.9860795184518,26
17,Feruto,1126.0,1
18,danwise1990,857.5284864280009,2
19,Breaking Mind,788.7590719402074,11
20,idjmv,1082.2084006521427,1
21,Tony Cameron,851.3487713941021,14
22,JackBartlet,983.945646337349,63
23,Gilarius,1125.1699854407368,37
24,shiu_yik,1398.1380761331773,28
25,Hyperspace Ninja,890.6215987455346,5
26,Laird of Dunans,1034.0100962528593,34
27,Nullican,865.93824416139,2
28,LargePackage,1247.1119398201492,38
29,Darth_Tango,810.9373833992536,31
30,Glade21,885.6050476300142,3
31,Bob,833.9277096445974,4
32,Deathwing,902.7523450350748,7
33,pwmf200,1173.4619384782043,3
34,Belisarius,994.6313673369269,27
35,munkaysteve,943.915551539296,1
36,Valadian,1191.8524752656228,25
37,jrbushman,1042.0,1
38,Cylindrical Bobcat,1122.2189591054787,24
39,Doctor_Murderblood,1004.4310719575351,2
40,matt_corp,991.5154788052822,4
41,Murcanic,1332.1603069035534,42
42,BigloveWar,843.8073585576531,7
43,Irishmadcat,1204.799158076334,29
44,nickopaniz,987.8598377749928,25
45,artamir73,892.6126186973997,9
46,Jeffles,1045.4441306542715,2
47,alexanderyeolht,998.5899218187045,16
48,darkserpent3703,1060.813155621399,7
49,pinturicchio,1030.5892673064666,17
50,sam.simon,1234.6218715256502,12
51,331999,1108.2128712529675,24
52,InRobWeTrust,1017.6457730337024,9
53,Titan,954.4127049425716,4
54,benrjamin2,890.7073678180645,30
55,jaypalmany,1383.9850739619696,11
56,teeseeuu,1165.134494575107,32
57,mstubbs,886.289288281022,40
58,Player 1,1104.3565090661489,2
59,Player 2,895.6434909338511,2
60,Roquax,1179.7542945858302,10
61,LUKEOUT99,1045.848524920607,27
62,Fox8820,949.0551358595969,1
63,russellbanks77,1067.7902302722975,39
64,gorgonshead,1045.4679931240294,1
65,phillip.gales,984.5189140026866,3
66,ArtemisSiri,1355.648561185095,22
67,Midnight,1214.1268281324196,8
68,SnakeChomp,980.1559643948191,7
69,Belryan,939.14452816099,5
70,Paulie Walnuts,937.5138122178871,5
71,CaptSky,1104.4244111236867,9
72,AdmiralSteve,771.232576290836,5
73,Dirk Lightning,1119.0932582772243,5
74,Shaemas,779.0930576005895,3
75,Teh HOBO,973.6318743693706,12
76,MItthraw,951.1754065167204,23
77,nikheizen,912.538176452193,10
78,evulfuson,798.9913819892669,7
79,kospauste,693.9964777180976,5
80,VeloAcier,1025.7149623663638,12
81,Uncrustable,1101.8116481140553,15
82,Tuff Bastard,906.9465156509425,4
83,malgrimx,994.5104241830187,6
84,philbrereton,841.3521753748189,1
85,christoph,1070.0,1
86,GeG,945.5843167144407,2
87,Rastahotep,878.6784212135651,6
88,majoturc,978.2553640545435,9
89,tagtwo,1070.0,1
90,patrickryandoupe,1043.0940023592436,19
91,doupedj,1133.1578921356493,24
92,Akhrin,1066.6970021532434,4
93,lord shockwave,1063.348819110507,2
94,Nevole,1213.5245910595572,12
95,Arthur,1018.4736063979176,3
96,J Desu,1110.1066070116851,10
97,Armadness,925.9721823640454,4
98,kingofthenerds01,906.6869157313884,2
99,ORJ Bill,1152.8538474361412,14
100,kinger3914,1020.8936788162428,9
101,Ryan,776.011301933165,23
102,Battlefleet Studios,842.6544541195957,3
103,ross tole,1036.351816541679,10
104,liggur,808.9188538292348,2
105,<ToT>,986.0,1
106,Agamemnon,1014.0,1
107,Tytan,848.4474939228226,1
108,homedrone,1185.051996629014,5
109,ShadowLordRegulus,811.0402693977047,6
110,xpectorate,912.6601562339756,5
111,ManBearPig,1042.0,1
112,Djaa9,958.0,1
113,HokieBirdOfDoom,986.0,1
114,LikeFrogs,1014.0,1
115,Diamond227,935.7156043416312,5
116,EliteOne,1002.1495199184175,34
117,aat niehot,1252.149863092579,8
118,Kiki,874.0,1
119,huntersoldier41,837.275598006456,6
120,[DTTH] Steves (LGM),777.9342177767837,5
121,Del Griffith,1014.0,1
122,Aj_pall,986.0,1
123,Hyhotzghugh,1034.9793766309238,5
124,Overlord Zell,939.1285478967638,6
125,Serfious,1054.270051044547,11
126,lastent,1191.7044117549992,9
127,CaribbeanNinja,1040.9069425329412,12
128,Little Lilrys Leaper,939.9935798180675,10
129,Ragnar88,1080.0887114606262,8
130,PB Seelight,1042.0,1
131,Keev,958.0,1
132,peatry,905.7103453634642,8
133,Sebouh.fr,1043.814428099639,4
134,LTD,1103.5536010434134,17
135,Plokoon,903.6260548930736,5
136,nooby_le_noob,1155.3404574137105,11
137,ddj,1117.0358494296347,12
138,Jedi ~ Lord of Giraffes,1042.0,1
139,Tyther Shadow,958.0,1
140,James_Carey,955.6627391744246,21
141,martin_cheetham,695.7833150941785,3
142,gregfyfe,898.05320248098,1
143,banche_86,759.263225803113,10
144,GregSmith,935.0095322065874,12
145,ExE,965.1990327977488,1
146,Hondatypes1,698.4168855426555,19
147,WildWolfen1,880.2827409698466,1
148,crazymoogle,986.0,1
149,RedLeader117,1014.0,1
150,{RSPK-10}Leroy,801.8159109217042,2
151,Ostoher,885.2127663320389,1
152,M1nty Punch,1068.741601399157,15
153,mamoncrief,1019.3066318178394,17
154,mikimilano92,919.683075114824,3
155,BurskiLurski,896.6740799114889,11
156,Thatguygoesboom,822.5175367530748,2
157,Skiappo88,1034.3342364317834,8
158,killer_penguin2499,961.0125581438326,9
159,tzmacarthur,967.5797195243975,1
160,Sürmel,983.2168896921409,1
161,andrew.moreton,915.6120174498487,7
162,[SpA]vocabro,1094.0074021552437,1
163,Ghost in the Machine,1216.5899084395248,31
164,Darthvisla307,963.0898701861604,1
165,lambrocalrissian,967.966293337442,1
166,nictx1070,1005.8103923294556,10
167,Blinky,955.9038008281575,8
168,Cider_Monkey,1022.8849007741487,7
169,nickrwhitaker,1019.0717063973008,1
170,HopLight,1022.5430672339068,1
171,Darkwrath,927.7942395607995,8
172,jpersons73,1146.5082215003263,4
173,mikedysthe,808.4917784996737,6
174,kiko_sanmiguel,909.8546850783534,5
175,RedMaskedMuse,1064.2410213157814,9
176,Resnem Ixela,1138.8775993298486,17
177,Nix,1158.1327110436725,12
178,Cookie Raider,1046.7447323382742,1
179,Bl8deR1nner,827.0539330517115,16
180,newton.adam.k,1259.9745685583578,8
181,Danibrot,986.0,1
182,Serphios,1014.0,1
183,jjvarle,863.715693290639,26
184,Florinatorix,959.5989359049788,3
185,LV,957.0237620659251,4
186,Mysticpiano,1106.9585353410998,3
187,Stunt,1020.3954153838122,1
188,whokickmydog,1161.2885970728157,4
189,Asterix997,1041.1007866364941,1
190,Maximonious,870.8481847579321,6
191,AcidChocolate,961.7677467987781,1
192,PaterSalad,774.4635083572721,2
193,tghunt1976,894.5363821200998,9
194,Turtle,891.5913214751181,11
195,Spartan825,1023.0258521643848,2
196,Muis,1176.2945741794688,25
197,Jynx972,738.2791918426572,6
198,avngd,1135.7329316481027,2
199,XR8rGREAT,964.6051104217114,4
200,Jeebus,962.631141325165,10
201,david.thompson1,983.8261590524695,6
202,Duke,1086.6178621365834,8
203,Andrew B (Melbs AU),857.4333367283998,15
204,MrFrisky4692,883.3789959842148,12
205,Apanson,951.7725448793733,1
206,RELENT,750.6044224567762,17
207,Revenge1213111,841.0013048179125,4
208,m3rcier,910.7050901749931,7
209,rkroskie,908.4890884077946,9
210,Capt. Griff,1058.10881657855,4
211,Viper_Optics,915.8968065315819,5
212,Viper_Chance,874.7859167948516,2
213,Cobalt,986.0,1
214,Healey,1014.0,1
215,jlhbullfrog,1021.0086464464462,5
216,blackpeteorion,986.0,1
217,avion14,1014.0,1
218,DoktorVampir,963.1996341117328,2
219,tpgb-100,1240.2566558479452,8
220,Ophion (Mick Gill),894.8377873773911,14
221,Bacon,1192.0089695252589,2
222,amw102*****,1020.5441459127285,3
223,Gibster,954.2399171676327,3
224,Beefcake4000,1140.5247204201755,4
225,janphatje,1065.120686158007,3
226,Imperator,988.8289316675044,5
227,ivan.bravo92,843.2619639580165,2
228,ajstarfreak,1015.7204819937584,10
229,Arkun Firemark,915.7096154100702,2
230,jchen101,939.2409400048782,17
231,TB2,1049.8781658622152,1
232,Marzaums,1169.2537982465983,2
233,jgrsound,1041.501020503194,1
234,Dane_Nasty,1043.1990065739437,4
235,webmaster,922.9794890115213,1
236,Corteccia,904.3028249798065,1
237,gallanteer,840.936697969219,3
238,Sykes,925.2379420093688,1
239,Rush SGU,882.5013493106358,6
240,PrairiePirates,945.354985113373,2
241,Irindes,888.5823102202036,2
242,gantoris,1119.6961660857826,3
243,Agent Michael Scarn,1003.780240437829,1
244,unskilledfirstofficer,1087.5771111084873,4
245,UVAi7920,1110.1393001860808,2
246,Gariss,889.8606998139192,2
247,LordCypherZahariel,1030.507924817454,4
248,Captain Nemo,1014.0,1
249,Captain Picard,986.0,1
250,Preacher of the Revolution,1043.92581013166,3
251,jschoonmaker,977.1652213722464,3
252,Doktor,1110.5933761435006,2
253,harpsichord17,1008.8441155383534,1
254,thurilar,879.4900954544655,1
255,FrostyCones,989.4295748296822,1
256,ZeroHour,920.1307418492831,3
257,Trawn,870.4982785379398,1
258,athlon2736,930.0,1
259,kraktzor,1070.0,1
260,공주 사랑해,921.3466500242852,3
261,Dr Chaitin,968.2391710352508,4
262,Zupercam,874.1707233015833,8
263,hratly,1067.9223302314215,8
264,cptblack,863.2477369084665,2
265,Kitsuki,994.5172882726528,3
266,topsss007,974.4071263684255,2
267,Gearheart,1170.4377328864869,2
268,Dbzsonicgirl,829.562267113513,2
269,escapefairfax,1041.8667931455614,1
270,theschop,1031.1675247427056,3
271,Fraggle_ION,959.9489775676859,6
272,ZaZ333,803.5138811389862,5
273,187Leon,935.8642839776555,2
274,Terraforcer,858.3922185176243,1
275,Jammers,1097.1317040506135,5
276,Goddam,915.356600945953,2
277,Tokra,972.0480831655133,1
278,Marrodeur,974.5968613614366,6
279,Captain Awesome,935.7219719540836,4
280,Thanatos_elNyx,943.2227499410906,3
281,alex44.nachin,866.7820091041872,1
282,VWC_RealVeers,1160.731125344558,1
283,Esmerillion,970.3169879057629,16
284,Merevyn,1072.0448689023945,16
285,Neagat,992.9964940611194,1
286,Terrail,977.6482695750323,12
287,gerritbalsam,1087.6877605583206,2
288,Kenichi Senpaii,931.4597530310552,1
289,Trigger,1019.7889878872841,2
290,michael.predny,952.5179526206946,4
291,Radec,989.7392840857499,1
292,Ezmirith,1134.9057374374845,2
293,Trotters,976.4280593117378,1
294,Flounder,987.9504119847367,1
295,freakyjoet,1155.2085815953399,2
296,Eleana,844.79141840466,2
297,Beanicus,1067.7711469308497,11
298,[Funny Name Here],978.7967855960092,1
299,Mathotma Goondi,1019.5188495156616,2
300,TPS,1070.0,1
301,Jaycee,930.0,1
302,Paul,974.1392680531703,1
303,IRLRaymondO,868.0464937549032,1
304,IRLJuanD,910.6363279864452,1
305,Heiseosaurus,956.3773115215716,1
306,Mako109,1208.3092678097314,5
307,Mr Imagination,1101.0033203311152,3
308,ValkyrieeOZ,984.3573182924732,1
309,Big Boss Ross,1024.3463840109282,3
310,Argentum,954.5550817986064,3
311,Pwyll,1028.1362418092522,2
312,The Bassist Gamer,879.8942995678257,2
313,Ammo37,986.0,1
314,Lia(Yknr),1014.0,1
315,TarcoMarco,812.2337210467279,1
316,Basher513,956.4292186539171,1
317,bachtat,1013.0,2
318,Nanomodz,862.5547453790658,1
319,bkcammack,973.8915134571293,2
320,Psychosisnz,958.0,1
321,DiamondHands<3,1154.9674477023684,6
322,Unknown?,1035.4842760720658,3
323,FreeBerg,899.3216062749003,6
324,Sir_Chicken,919.6536560337761,8
325,samplaza19,1014.0,1
326,PandaPlaza1277,986.0,1
327,Wusiji Doctor,997.4327517072381,4
328,Captain Keter,923.8090092537716,4
329,victor.mendez.fernandez,986.6343542044582,4
330,stephen,950.5313293132916,3
331,LiveAndLetDie11,957.5867638346516,4
332,Black_Totoro,933.6729539934364,4
333,corbett.alex384,960.644129518814,1
334,IRLJasonG,913.9127944697003,1
335,Silvershadow c,1012.1057854915218,3
336,Pr0f3SS0RAS,1041.4103673576687,2
337,IRLMichaelL,923.6458007127385,1
338,davidtopf2,853.9426536835523,2
339,m3rci3r,932.6776934261818,3
340,Shiptonator,927.1808589149857,1
341,tasadur,914.9179162847705,2
342,Another Jim,1032.1018618123521,2
343,Admiral W.,968.7598023717565,1
344,Olinus,964.1801528450703,1
345,Blade19,1048.43065310199,1
346,svdave,914.2774286284565,1
347,Mjorr,977.3675837607748,1
348,Mundo,940.328685804899,1
349,Ninja Boomer,959.2891447217523,1
350,kuririnad,930.0,1
351,Duceman,1070.0,1
