,name,elo,games
170,HopLight,1022.5430672339068,1
171,Darkwrath,920.4780331306706,9
172,jpersons73,1266.4409481717594,8
173,mikedysthe,808.4917784996737,6
174,kiko_sanmiguel,909.8546850783534,5
175,RedMaskedMuse,1064.2410213157814,9
176,Resnem Ixela,1138.8775993298486,17
177,Nix,1158.1327110436725,12
178,Cookie Raider,1046.7447323382742,1
179,Bl8deR1nner,827.0539330517115,16
180,newton.adam.k,1283.5849555862019,9
181,Danibrot,986.0,1
182,Serphios,1014.0,1
183,jjvarle,858.5885224329315,29
184,Florinatorix,1051.8712172412568,4
185,LV,957.0237620659251,4
186,Mysticpiano,1106.9585353410998,3
187,Stunt,1020.3954153838122,1
188,whokickmydog,1161.2885970728157,4
189,Asterix997,1041.1007866364941,1
190,Maximonious,848.5414826572287,7
191,AcidChocolate,961.7677467987781,1
192,PaterSalad,774.4635083572721,2
193,tghunt1976,872.950616418543,13
194,Turtle,891.5913214751181,11
195,Spartan825,1023.0258521643848,2
196,Muis,1184.2756260438764,26
197,Jynx972,738.2791918426572,6
198,avngd,1135.7329316481027,2
199,XR8rGREAT,964.6051104217114,4
200,Jeebus,962.631141325165,10
201,david.thompson1,983.8261590524695,6
202,Duke,1096.5971803433122,9
203,Andrew B (Melbs AU),876.3878726633773,18
204,MrFrisky4692,903.3857125794196,21
205,Apanson,951.7725448793733,1
206,RELENT,776.7180326024597,19
207,Revenge1213111,841.0013048179125,4
208,m3rcier,910.7050901749931,7
209,rkroskie,908.4890884077946,9
210,Capt. Griff,1058.10881657855,4
211,Viper_Optics,895.3079169061427,6
212,Viper_Chance,874.7859167948516,2
213,Cobalt,986.0,1
214,Healey,1014.0,1
215,jlhbullfrog,1021.0086464464462,5
216,blackpeteorion,986.0,1
217,avion14,1014.0,1
218,DoktorVampir,963.1996341117328,2
219,tpgb-100,1240.2566558479452,8
220,Ophion (Mick Gill),951.5213399712917,17
221,Bacon,1192.0089695252589,2
222,amw102*****,1020.5441459127285,3
223,Gibster,954.2399171676327,3
224,Beefcake4000,1140.5247204201755,4
225,janphatje,1065.120686158007,3
226,Imperator,1032.6056074220842,8
227,ivan.bravo92,843.2619639580165,2
228,ajstarfreak,1015.7204819937584,10
229,Arkun Firemark,915.7096154100702,2
230,jchen101,971.5956681565253,20
231,TB2,1049.8781658622152,1
232,Marzaums,1169.2537982465983,2
233,jgrsound,1041.501020503194,1
234,Dane_Nasty,1043.1990065739437,4
235,webmaster,922.9794890115213,1
236,Corteccia,904.3028249798065,1
237,gallanteer,811.9480034030212,4
238,Sykes,925.2379420093688,1
239,Rush SGU,882.5013493106358,6
240,PrairiePirates,945.354985113373,2
241,Irindes,888.5823102202036,2
242,gantoris,1119.6961660857826,3
243,Agent Michael Scarn,1003.780240437829,1
244,unskilledfirstofficer,1206.3431264690491,7
245,UVAi7920,1110.1393001860808,2
246,Gariss,889.8606998139192,2
247,LordCypherZahariel,1030.507924817454,4
248,Captain Nemo,1014.0,1
249,Captain Picard,986.0,1
250,Preacher of the Revolution,1043.92581013166,3
251,jschoonmaker,977.1652213722464,3
252,Doktor,1110.5933761435006,2
253,harpsichord17,1008.8441155383534,1
254,thurilar,879.4900954544655,1
255,FrostyCones,989.4295748296822,1
256,ZeroHour,901.835325136947,4
257,Trawn,845.3971948560087,2
258,athlon2736,930.0,1
259,kraktzor,1070.0,1
260,공주 사랑해,921.3466500242852,3
261,Dr Chaitin,968.2391710352508,4
262,Zupercam,874.1707233015833,8
263,hratly,1104.1830011362108,16
264,cptblack,863.2477369084665,2
265,Kitsuki,994.5172882726528,3
266,topsss007,974.4071263684255,2
267,Gearheart,1170.4377328864869,2
268,Dbzsonicgirl,829.562267113513,2
269,escapefairfax,1041.8667931455614,1
270,theschop,1031.1675247427056,3
271,Fraggle_ION,959.9489775676859,6
272,ZaZ333,854.3157263716187,8
273,187Leon,935.8642839776555,2
274,Terraforcer,858.3922185176243,1
275,Jammers,1122.4673155109083,13
276,Goddam,915.356600945953,2
277,Tokra,972.0480831655133,1
278,Marrodeur,974.5968613614366,6
279,Captain Awesome,935.7219719540836,4
280,Thanatos_elNyx,943.2227499410906,3
281,alex44.nachin,866.7820091041872,1
282,VWC_RealVeers,1160.731125344558,1
283,Esmerillion,970.3169879057629,16
284,Merevyn,1072.0448689023945,16
285,Neagat,992.9964940611194,1
286,Terrail,977.6482695750323,12
287,gerritbalsam,1087.6877605583206,2
288,Kenichi Senpaii,931.4597530310552,1
289,Trigger,1019.7889878872841,2
290,michael.predny,970.4871918354295,8
291,Radec,989.7392840857499,1
292,Ezmirith,1134.9057374374845,2
293,Trotters,976.4280593117378,1
